"Service","EC2-Other($)","EC2-Instances($)","S3($)","Total costs($)"
"Service total","1464.33865613","1323.5739894762","39.2135779122","2827.1262235184"
"2024-01-24","8.8861673582","20.361847872","0.0334271395","29.2814423697"
"2024-01-25","11.2006658719","33.5213174298","0.0338115129","44.7557948146"
"2024-01-26","13.058336301","65.088","0.0338418395","78.1801781405"
"2024-01-27","13.0583441768","65.088","0.0338418395","78.1801860163"
"2024-01-28","13.0583362208","7.723173936","0.0338418395","20.8153519963"
"2024-01-29","10.1367637035","19.720006968","0.0338418395","29.890612511"
"2024-01-30","8.7034975112","","0.0340460864","8.7375435976"
"2024-01-31","8.7034975112","","0.0340460864","8.7375435976"
"2024-02-01","9.3892720676","21.751747872","0","31.1410199396"
"2024-02-02","17.8400350905","65.088","0","82.9280350905"
"2024-02-03","17.8400349242","65.088","0","82.9280349242"
"2024-02-04","12.3989740545","37.673446968","0.0307480262","50.1031690487"
"2024-02-05","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-06","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-07","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-08","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-09","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-10","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-11","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-12","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-13","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-14","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-15","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-16","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-17","4.8055520946","","0.0364896899","4.8420417845"
"2024-02-18","5.8465003704","8.136","0.0364896899","14.0189900603"
"2024-02-19","13.1331385585","65.088","0.0364977148","78.2576362733"
"2024-02-20","13.1331384707","65.088","0.0365068982","78.2576453689"
"2024-02-21","10.4638789056","44.132527872","0.0365068982","54.6329136758"
"2024-02-22","4.8055520946","","0.0365235157","4.8420756103"
"2024-02-23","4.8055520946","","0.0365235157","4.8420756103"
"2024-02-24","4.8055520946","","0.0365235157","4.8420756103"
"2024-02-25","4.8055520946","","0.0365235157","4.8420756103"
"2024-02-26","4.8055520946","","0.0350358592","4.8405879538"
"2024-02-27","15.39391426","8.136","0.0350362114","23.5649504714"
"2024-02-28","43.6844716866","29.773239096","0.0395263986","73.4972371812"
"2024-02-29","4.8055520946","","0.0350719497","4.8406240443"
"2024-03-01","4.4455164755","","0","4.4455164755"
"2024-03-02","4.4955164755","","0","4.4955164755"
"2024-03-03","4.4955164755","","0","4.4955164755"
"2024-03-04","56.1958203372","42.09852516","0.0162369732","98.3105824704"
"2024-03-05","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-06","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-07","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-08","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-09","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-10","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-11","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-12","4.4955164755","","0.0332160937","4.5287325692"
"2024-03-13","30.8987424076","16.272","0.0332160937","47.2039585013"
"2024-03-14","104.1163838145","56.878927872","0.0361666441","161.0314783306"
"2024-03-15","4.4955164755","","0.0337863003","4.5293027758"
"2024-03-16","4.4955164755","","0.0338263003","4.5293427758"
"2024-03-17","21.3241456926","13.5679326048","0.0356913082","34.9277696056"
"2024-03-18","4.4955164755","","0.0340272112","4.5295436867"
"2024-03-19","4.4955164755","","0.0338372112","4.5293536867"
"2024-03-20","4.4955164755","","0.0338372112","4.5293536867"
"2024-03-21","4.4955164755","","0.0338372112","4.5293536867"
"2024-03-22","4.4955164755","","0.0338372112","4.5293536867"
"2024-03-23","4.4955164755","","0.0338372112","4.5293536867"
"2024-03-24","39.6815921872","27.093528","0.0358622112","66.8109823984"
"2024-03-25","4.9015861439","0.1935356976","0.037307941","5.1324297825"
"2024-03-26","4.4955164755","","0.033902941","4.5294194165"
"2024-03-27","4.4955164755","","0.033902941","4.5294194165"
"2024-03-28","4.4955164755","","0.033902941","4.5294194165"
"2024-03-29","4.4955164755","","0.033902941","4.5294194165"
"2024-03-30","4.4955164755","","0.033902941","4.5294194165"
"2024-03-31","4.4955164755","","0.033902941","4.5294194165"
"2024-04-01","4.5953670247","","0","4.5953670247"
"2024-04-02","4.6453670248","","0","4.6453670248"
"2024-04-03","4.6453670248","","0","4.6453670248"
"2024-04-04","4.6453670248","","0.0251321562","4.670499181"
